date_key,date,year,month,month_name,iso_year,iso_week,iso_yearweek,week_start_date,store_code,store_name,orders,net_revenue,aov,units,asp,units_per_order
20220526,2022-05-26,2022,5,May,2022,21,202221,2022-05-23,PA,Pasion Albiverde (Store),4,219.98,55.00,6.000,36.66,1.50
20220526,2022-05-26,2022,5,May,2022,21,202221,2022-05-23,RBN,Rabbona,2,914.92,457.46,9.000,101.66,4.50
20220526,2022-05-26,2022,5,May,2022,21,202221,2022-05-23,VIC,Victus,3,1394.97,464.99,10.000,139.50,3.33
20220527,2022-05-27,2022,5,May,2022,21,202221,2022-05-23,PA,Pasion Albiverde (Store),2,509.98,254.99,2.000,254.99,1.00
20220527,2022-05-27,2022,5,May,2022,21,202221,2022-05-23,RBN,Rabbona,8,1173.95,146.74,12.000,97.83,1.50
20220527,2022-05-27,2022,5,May,2022,21,202221,2022-05-23,VIC,Victus,4,769.92,192.48,8.000,96.24,2.00
20220528,2022-05-28,2022,5,May,2022,21,202221,2022-05-23,PA,Pasion Albiverde (Store),2,376.99,188.50,2.000,188.50,1.00
20220528,2022-05-28,2022,5,May,2022,21,202221,2022-05-23,RBN,Rabbona,6,1733.84,288.97,20.000,86.69,3.33
20220529,2022-05-29,2022,5,May,2022,21,202221,2022-05-23,PA,Pasion Albiverde (Store),3,936.97,312.32,4.000,234.24,1.33
20220529,2022-05-29,2022,5,May,2022,21,202221,2022-05-23,RBN,Rabbona,1,209.99,209.99,1.000,209.99,1.00
20220530,2022-05-30,2022,5,May,2022,22,202222,2022-05-30,PA,Pasion Albiverde (Store),9,2059.89,228.88,11.000,187.26,1.22
20220530,2022-05-30,2022,5,May,2022,22,202222,2022-05-30,RBN,Rabbona,2,329.98,164.99,2.000,164.99,1.00
20220530,2022-05-30,2022,5,May,2022,22,202222,2022-05-30,VIC,Victus,6,1289.80,214.97,20.000,64.49,3.33
20220531,2022-05-31,2022,5,May,2022,22,202222,2022-05-30,PA,Pasion Albiverde (Store),8,1829.90,228.74,10.000,182.99,1.25
20220531,2022-05-31,2022,5,May,2022,22,202222,2022-05-30,RBN,Rabbona,1,129.98,129.98,2.000,64.99,2.00
20220531,2022-05-31,2022,5,May,2022,22,202222,2022-05-30,VIC,Victus,3,623.95,207.98,7.000,89.14,2.33
20220601,2022-06-01,2022,6,June,2022,22,202222,2022-05-30,PA,Pasion Albiverde (Store),4,809.96,202.49,4.000,202.49,1.00
